INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,Numbers
I182073441,301,Robbery,ROBBERY - STREET,A1,101,,2018/9/12 2:15,2018,9,Wednesday,2,Part One,MILK ST,42.35822966,-71.05362239,"(42.35822966, -71.05362239)",1
I182073385,301,Robbery,ROBBERY - STREET,A7,24,,2018/9/11 20:10,2018,9,Tuesday,20,Part One,BROOKS ST,42.37928285,-71.0353629,"(42.37928285, -71.03536290)",1
I182073327,301,Robbery,ROBBERY - STREET,B2,179,,2018/9/10 22:00,2018,9,Monday,22,Part One,ALTHER ST,42.3308322,-71.0742883,"(42.33083220, -71.07428830)",1
I182073083,301,Robbery,ROBBERY - STREET,B3,469,,2018/9/10 22:53,2018,9,Monday,22,Part One,WALK HILL ST,42.2790573,-71.09584789,"(42.27905730, -71.09584789)",1
I182073070,301,Robbery,ROBBERY - STREET,B2,179,,2018/9/10 22:10,2018,9,Monday,22,Part One,FARNHAM ST,42.33046536,-71.07442945,"(42.33046536, -71.07442945)",1
I182073012,301,Robbery,ROBBERY - STREET,C11,402,,2018/9/10 15:30,2018,9,Monday,15,Part One,ASHMONT ST,42.28534033,-71.07118543,"(42.28534033, -71.07118543)",1
I182072988,301,Robbery,ROBBERY - STREET,D4,141,,2018/9/8 0:00,2018,9,Saturday,0,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)",1
I182072963,301,Robbery,ROBBERY - STREET,A7,17,,2018/9/10 15:51,2018,9,Monday,15,Part One,SARATOGA ST,42.37950444,-71.02857705,"(42.37950444, -71.02857705)",1
I182072795,301,Robbery,ROBBERY - STREET,A1,124,,2018/9/10 2:50,2018,9,Monday,2,Part One,TYLER ST,42.34888042,-71.06149764,"(42.34888042, -71.06149764)",1
I182072565,301,Robbery,ROBBERY - STREET,D4,591,,2018/9/9 4:30,2018,9,Sunday,4,Part One,IPSWICH ST,42.34750972,-71.09011373,"(42.34750972, -71.09011373)",1
I182072407,301,Robbery,ROBBERY - STREET,B2,266,,2018/9/8 15:31,2018,9,Saturday,15,Part One,WHITING ST,42.32525618,-71.07922845,"(42.32525618, -71.07922845)",1
I182072403,301,Robbery,ROBBERY - STREET,A1,115,,2018/9/8 14:51,2018,9,Saturday,14,Part One,EAST ST,42.35156343,-71.05701389,"(42.35156343, -71.05701389)",1
I182071942,301,Robbery,ROBBERY - STREET,B3,425,,2018/9/6 23:52,2018,9,Thursday,23,Part One,BABSON ST,42.27267557,-71.09192911,"(42.27267557, -71.09192911)",1
I182071922,301,Robbery,ROBBERY - STREET,C11,358,,2018/9/6 21:46,2018,9,Thursday,21,Part One,LARCHMONT ST,42.29703368,-71.06860662,"(42.29703368, -71.06860662)",1
I182071885,301,Robbery,ROBBERY - STREET,A7,24,,2018/9/6 19:35,2018,9,Thursday,19,Part One,MERIDIAN ST,42.37750247,-71.03916237,"(42.37750247, -71.03916237)",1
I182071316,301,Robbery,ROBBERY - STREET,E18,481,,2018/9/4 22:50,2018,9,Tuesday,22,Part One,ROCKDALE ST,42.26652466,-71.0985532,"(42.26652466, -71.09855320)",1
I182071191,301,Robbery,ROBBERY - STREET,B2,181,,2018/9/4 15:27,2018,9,Tuesday,15,Part One,MAGAZINE ST,42.32667817,-71.0714811,"(42.32667817, -71.07148110)",1
I182071040,301,Robbery,ROBBERY - STREET,C11,397,,2018/9/4 9:49,2018,9,Tuesday,9,Part One,TALBOT AVE,42.28935481,-71.06767297,"(42.28935481, -71.06767297)",1
I182070962,301,Robbery,ROBBERY - STREET,B3,427,,2018/9/3 23:06,2018,9,Monday,23,Part One,BLUE HILL AVE,42.27470119,-71.09344053,"(42.27470119, -71.09344053)",1
I182070931,301,Robbery,ROBBERY - STREET,C6,177,,2018/9/3 20:48,2018,9,Monday,20,Part One,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)",1
I182070795,301,Robbery,ROBBERY - STREET,C11,362,,2018/9/2 20:30,2018,9,Sunday,20,Part One,LYNDHURST ST,42.29290563,-71.06955795,"(42.29290563, -71.06955795)",1
I182070741,301,Robbery,ROBBERY - STREET,D14,805,,2018/9/3 3:26,2018,9,Monday,3,Part One,PORTSMOUTH ST,42.36053257,-71.14426332,"(42.36053257, -71.14426332)",1
I182070549,301,Robbery,ROBBERY - STREET,B2,282,,2018/9/2 7:00,2018,9,Sunday,7,Part One,WARREN ST,42.32823419,-71.08328981,"(42.32823419, -71.08328981)",1
I182070168,301,Robbery,ROBBERY - STREET,A1,119,,2018/9/1 1:16,2018,9,Saturday,1,Part One,PARK ST,42.35650174,-71.0619996,"(42.35650174, -71.06199960)",1
I182069846,301,Robbery,ROBBERY - STREET,A1,111,,2018/8/31 2:15,2018,8,Friday,2,Part One,WEST ST,42.35459106,-71.0621901,"(42.35459106, -71.06219010)",1
I182069693,301,Robbery,ROBBERY - STREET,A1,74,,2018/8/30 15:24,2018,8,Thursday,15,Part One,BULFINCH PL,42.36219081,-71.06223802,"(42.36219081, -71.06223802)",1
I182069687,301,Robbery,ROBBERY - STREET,B2,278,,2018/8/28 12:00,2018,8,Tuesday,12,Part One,HARRISON AVE,42.33153805,-71.08015661,"(42.33153805, -71.08015661)",1
I182069112,301,Robbery,ROBBERY - STREET,B2,181,,2018/8/28 18:08,2018,8,Tuesday,18,Part One,KEMBLE ST,42.32695733,-71.07074008,"(42.32695733, -71.07074008)",1
I182068875,301,Robbery,ROBBERY - STREET,B3,468,,2018/8/27 22:17,2018,8,Monday,22,Part One,HAZLETON ST,42.28152567,-71.09700335,"(42.28152567, -71.09700335)",1
I182068697,301,Robbery,ROBBERY - STREET,E13,570,,2018/8/27 13:03,2018,8,Monday,13,Part One,FOREST HILLS ST,42.30492239,-71.10298073,"(42.30492239, -71.10298073)",1
I182068493,301,Robbery,ROBBERY - STREET,A1,173,,2018/8/25 22:44,2018,8,Saturday,22,Part One,KNEELAND ST,42.34958657,-71.05735762,"(42.34958657, -71.05735762)",1
I182068303,301,Robbery,ROBBERY - STREET,B3,426,,2018/8/26 1:52,2018,8,Sunday,1,Part One,RIVER ST,42.26956689,-71.09075049,"(42.26956689, -71.09075049)",1
I182068259,301,Robbery,ROBBERY - STREET,D4,619,,2018/8/25 21:18,2018,8,Saturday,21,Part One,HUNTINGTON AVE,42.34221544,-71.08577075,"(42.34221544, -71.08577075)",1
I182068062,301,Robbery,ROBBERY - STREET,A1,111,,2018/8/25 3:00,2018,8,Saturday,3,Part One,AVENUE DE LAFAYETTE,42.35389258,-71.06214998,"(42.35389258, -71.06214998)",1
I182067990,301,Robbery,ROBBERY - STREET,C11,359,,2018/8/24 20:48,2018,8,Friday,20,Part One,ALPHA RD,42.29624549,-71.0671598,"(42.29624549, -71.06715980)",1
I182067750,301,Robbery,ROBBERY - STREET,D4,171,,2018/8/24 7:40,2018,8,Friday,7,Part One,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)",1
I182067681,301,Robbery,ROBBERY - STREET,B3,425,,2018/8/23 21:33,2018,8,Thursday,21,Part One,FREMONT ST,42.27152449,-71.09295148,"(42.27152449, -71.09295148)",1
I182067607,301,Robbery,ROBBERY - STREET,A7,33,,2018/8/23 18:00,2018,8,Thursday,18,Part One,EVERETT ST,42.36573225,-71.03064135,"(42.36573225, -71.03064135)",1
I182067601,301,Robbery,ROBBERY - STREET,E18,518,,2018/8/23 16:23,2018,8,Thursday,16,Part One,DANA AVE,42.24894017,-71.12130622,"(42.24894017, -71.12130622)",1
I182067483,301,Robbery,ROBBERY - STREET,C6,172,,2018/8/23 11:37,2018,8,Thursday,11,Part One,BRADSTON ST,42.332354,-71.07138696,"(42.33235400, -71.07138696)",1
I182067425,301,Robbery,ROBBERY - STREET,C11,394,,2018/8/19 21:30,2018,8,Sunday,21,Part One,BUSHNELL ST,42.28557915,-71.06358649,"(42.28557915, -71.06358649)",1
I182067328,301,Robbery,ROBBERY - STREET,D4,138,,2018/8/22 20:21,2018,8,Wednesday,20,Part One,EXETER ST,42.35030915,-71.07988963,"(42.35030915, -71.07988963)",1
I182067312,301,Robbery,ROBBERY - STREET,B3,476,,2018/8/5 17:00,2018,8,Sunday,17,Part One,CUMMINS HWY,42.267517,-71.094124,"(42.26751700, -71.09412400)",1
I182067087,301,Robbery,ROBBERY - STREET,B2,320,,2018/8/22 1:29,2018,8,Wednesday,1,Part One,CRAWFORD ST,42.31167532,-71.08586299,"(42.31167532, -71.08586299)",1
I182066765,301,Robbery,ROBBERY - STREET,E13,302,,2018/8/21 0:45,2018,8,Tuesday,0,Part One,CENTRE ST,42.32270922,-71.09932317,"(42.32270922, -71.09932317)",1
I182066426,301,Robbery,ROBBERY - STREET,B3,454,,2018/8/19 23:02,2018,8,Sunday,23,Part One,HARVARD AVE,42.3001358,-71.07563344,"(42.30013580, -71.07563344)",1
I182066362,301,Robbery,ROBBERY - STREET,E5,726,,2018/8/19 18:45,2018,8,Sunday,18,Part One,SPRING ST,42.27757964,-71.16274799,"(42.27757964, -71.16274799)",1
I182066152,301,Robbery,ROBBERY - STREET,E13,572,,2018/8/19 0:11,2018,8,Sunday,0,Part One,DIXWELL ST,42.31433402,-71.09791405,"(42.31433402, -71.09791405)",1
I182065892,301,Robbery,ROBBERY - STREET,B2,615,,2018/8/18 1:27,2018,8,Saturday,1,Part One,FENWAY,42.33932485,-71.09937561,"(42.33932485, -71.09937561)",1
I182065799,301,Robbery,ROBBERY - STREET,B3,469,,2018/8/17 19:09,2018,8,Friday,19,Part One,FOTTLER RD,42.27863649,-71.09541135,"(42.27863649, -71.09541135)",1
I182065797,301,Robbery,ROBBERY - STREET,E5,563,,2018/8/17 19:02,2018,8,Friday,19,Part One,FAWNDALE RD,42.29011783,-71.12187904,"(42.29011783, -71.12187904)",1
